Topic,Composite Score
business solutions: data insights,100
business services: korn ferry,100
transactions & payments: digital token,100
privacy: tokenization,99
other: group travel,98
product development & qa: research and development / test,90
machine learning & artificial intelligence: openai,87
health tech: datamonitor,82
policy & culture: flexible working,82
leadership & strategy: management development,82
hr tech: successfactors,82
staff departure: job satisfaction,82
training & development: management and executive development,82
"budgeting, planning & strategy: strategy consulting",82
staff departure: layoff,82
training & development: leadership training,82
hr tech: sap employee experience management,82
"recruitment, hiring & onboarding: talent supply",81
data management: point-in-time recovery,81
employee services: future of work,80
events & conferences: gartner events,79
general: educator professional development,79
media & advertising: forbes,79
apis & services: simpletexting,79
apis & services: mms api,79
other: telemarketing list hygiene,78
financial: visa dispute monitoring program (vdmp),78
other: travel fraud,78
trading & investing: hedging,78
strategy & analysis: measure impact,77
"recruitment, hiring & onboarding: generation z recruiting",77
machine learning & artificial intelligence: agentic work unit,77
general: jewelry,77
"budgeting, planning & strategy: innovation speaker",77
training & development: talent management,76
"budgeting, planning & strategy: lean organization",76
machine learning & artificial intelligence: ai strategy,76
product development & qa: retrospectives,76
"recruitment, hiring & onboarding: talent acquisition",75
technology: aml insights,75
lawtech: artificial intelligence compliance,75
financial: mastercard (ma),75
machine learning & artificial intelligence: ai data analytics,75
wireless: wireless messaging,74
compliance & governance: corporate responsibility,74
software engineering: agile management,74
financial: mastercard advisors,74
general: astronomy,74
lawtech: ai litigation review,73
personal protective equipment (ppe): skylight & hatch railing systems,73
entertainment: roblox,73
apis & services: authentication,72
transactions & payments: asset tokenization,72
hr: mcquaig,72
operations: building security,72
general: training & certification,72
gaming: independent games,72
hardware: ai chips,72
technology: chatgpt,71
other: ai for marketing,71
machine learning & artificial intelligence: ai matching,71
general: pets,71
programming languages: postgres,71
trading & investing: interest rate risk,70
transactions & payments: loan sales,70
travel: amex gbt (gbtg),70
trading & investing: hedge funds,70
media & advertising: money morning,70
general: arcade & coin-op games,70
business finance: commercial mortgages,70
other: mortgage servicing communications,70
training & development: ai-powered coaching,69
"recruitment, hiring & onboarding: recruiting technology",69
technology: microsoft teams direct routing,69
machine learning & artificial intelligence: ai automation,69
hotels & accommodations: hotel eviction,69
financial: credit suisse group,69
data management: relationship intelligence,69
technology: apache http server,69
business services: accenture (acn),68
analytics & reporting: actionable insights,68
financial: t. rowe price (trow),68
machine learning & artificial intelligence: generative ai in sales,68
technology: ring,68
"budgeting, planning & strategy: internal alignment",68
software engineering: game development,67
other: fleet maintenance software,67
media & advertising: fortune,67
financial: goldman,67
policy & culture: social collaboration,67
machine learning & artificial intelligence: ai/ml operationalization,67
financial: goldman sachs (gs),67
operations: submission triage,66
business solutions: reporting automation,66
data management: data lakehouse,66
social: cultivate,66
analytics & reporting: analytics engine,66
channels & types: marketing collaboration,66
manufacturing: labor management,66
trading & investing: non-fungible token (nft),66
aerospace: lockheed martin (lmt),66
technology: cisco systems (csco),66
gaming: online casino,66
telecommunications: t-mobile (tmus),66
machine learning & artificial intelligence: vector database,65
machine learning & artificial intelligence: azure for ml,65
"budgeting, planning & strategy: management fundamentals",65
training & development: workforce readiness,65
general: antiques & collectibles,65
financial: jpmorgan chase (jpm),65
product development & qa: agile tools,65
data management: open table format,65
machine learning & artificial intelligence: human-ai teams,65
general: wholesalers & liquidators,65
technology: conveythis,65
social: linkedin,64
medical research: health foundations & medical research,64
"recruitment, hiring & onboarding: recruitment training",64
technology: chatgpt-4,64
other: organizational simplification,64
technology: yahoo inc.,64
general: continuous learning,64
technology: amazon s3,64
diversity: diversity services,63
general: clothing accessories,63
agency/dept: department of housing and urban development (hud),63
machine learning & artificial intelligence: ai data management,63
business solutions: aws identity and access management,62
personal protective equipment (ppe): safe access solutions,62
leadership & strategy: leadership strategies,61
other: ais software for pc,61
manufacturing: aerospace,61
machine learning & artificial intelligence: artificial hallucination,61
data management: apache druid,61
technology: apache impala,61
general: physics,61
technology: lucid software inc.,61
machine learning & artificial intelligence: ai abm,61
technology: apache sqoop,61
product development & qa: context-driven testing,61
machine learning & artificial intelligence: in-database machine learning,61
servers: server performance,61
general: discount & outlet stores,60
technology: facebook (fb),60
general: scientific equipment,60
technology: ios,60
machine learning & artificial intelligence: ai booking agent,60
technology: telegram messenger inc.,60
technology: nothing,60
